#;Name;Price;24h;7d;24h Volume;Market Cap
1;Bitcoin;$111,286;2.1%;1.5%;$38,429,008,991;$2,212,807,053,795
2;Ethereum;$2,768.60;4.3%;6.7%;$30,426,758,456;$334,089,759,210
3;Tether;$1.00;0.0%;0.0%;$78,513,600,865;$158,847,480,986
4;XRP;$2.45;3.2%;7.7%;$4,675,034,637;$144,743,160,883
5;BNB;$668.03;0.8%;0.9%;$1,056,506,633;$97,448,614,302
6;Solana;$156.41;1.6%;2.7%;$6,309,127,104;$83,775,025,659
7;USDC;$0.9999;0.0%;0.0%;$8,764,233,878;$62,562,410,316
8;TRON;$0.2909;1.2%;2.3%;$713,144,271;$27,568,597,743
9;Dogecoin;$0.1802;4.2%;4.3%;$2,625,377,382;$26,997,230,647
10;STETH;$2,767.09;4.2%;6.7%;$45,264,535;$25,232,911,970
11;ADA;$0.7501;5.7%;22.2%;$1,103,964,658;$24,131,594,779
12;HYPE;$47.71;1.2%;21.2%;$317,310,905;$15,930,858,126
13;WBTC;$118,439;3.0%;8.2%;$290,877,519;$15,265,337,289
14;Stellar;$0.4751;4.7%;62.3%;$1,193,160,037;$14,770,652,789
15;Sui;$4.01;2.7%;35.3%;$2,008,850,378;$13,866,131,270
16;WSTETH;$3,856.17;7.7%;19.9%;$31,303,011;$13,296,163,827
17;Chainlink;$16.55;9.2%;17.0%;$842,896,200;$11,229,522,293
18;Hedera;$0.2391;4.0%;40.7%;$665,595,145;$10,155,354,919
19;BCH;$496.37;2.8%;2.9%;$279,548,047;$9,884,732,782
20;AVAX;$22.03;6.7%;18.2%;$869,139,772;$9,301,648,715
